Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-4bw7,checkpoint-gv9f,checkpoint-fk7v,branch-gxdo,checkpoint-3ran,branch-az1z,checkpoint-ivyp,checkpoint-lc6f,checkpoint-i3d1,randomiser-ab8b,randomiser-jycv,randomiser-ygby,Randomise questionnaire elements?,Question Key,Response
1,1633469287087,05/10/2021 21:28:07,1633469286769,-5,05/10/2021 16:28:06,50681,20,questionnaire-9ki4,,16201944,a6g1ydeh,4793261,,complete,glrufj,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x937,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633469321160,05/10/2021 21:28:41,1633469320896,-5,05/10/2021 16:28:40,50681,20,questionnaire-9ki4,,16201944,a6g1ydeh,4793261,,complete,glrufj,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1903x937,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,Consent_Q,Consent
3,1633469321311,05/10/2021 21:28:41,1633469320898,-5,05/10/2021 16:28:40,50681,20,questionnaire-9ki4,,16201944,a6g1ydeh,4793261,,complete,glrufj,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1903x937,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,Consent_Q-quantised,1
4,1633469321311,05/10/2021 21:28:41,1633469320898,-5,05/10/2021 16:28:40,50681,20,questionnaire-9ki4,,16201944,a6g1ydeh,4793261,,complete,glrufj,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1903x937,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,END QUESTIONNAIRE,34130
1,1634831025477,21/10/2021 15:43:45,1634831025340,-4,21/10/2021 11:43:45,50681,20,questionnaire-9ki4,,16575822,ywkls6sz,4903010,,complete,vkqogk,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 93.0,1366x768,1366x655,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1634831034267,21/10/2021 15:43:54,1634831034191,-4,21/10/2021 11:43:54,50681,20,questionnaire-9ki4,,16575822,ywkls6sz,4903010,,complete,vkqogk,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 93.0,1366x768,1354x655,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,Consent_Q,Consent
3,1634831034472,21/10/2021 15:43:54,1634831034195,-4,21/10/2021 11:43:54,50681,20,questionnaire-9ki4,,16575822,ywkls6sz,4903010,,complete,vkqogk,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 93.0,1366x768,1354x655,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,Consent_Q-quantised,1
4,1634831034472,21/10/2021 15:43:54,1634831034196,-4,21/10/2021 11:43:54,50681,20,questionnaire-9ki4,,16575822,ywkls6sz,4903010,,complete,vkqogk,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 93.0,1366x768,1354x655,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,END QUESTIONNAIRE,8856
1,1637118103126,17/11/2021 03:01:43,1637118102808,-5,16/11/2021 22:01:42,50681,20,questionnaire-9ki4,,17226175,vmh7jp0y,5086085,,complete,sgpmkw,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1637118123157,17/11/2021 03:02:03,1637118121481,-5,16/11/2021 22:02:01,50681,20,questionnaire-9ki4,,17226175,vmh7jp0y,5086085,,complete,sgpmkw,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1349x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,Consent_Q,Consent
